,date,deposit_type,rate
425,1997-10-23,定期存款整存整取(五年),6.66
426,1997-10-23,定期存款整存整取(一年),5.67
427,1997-10-23,活期存款(不定期),1.71
428,1997-10-23,零存整取、整存零取、存本取息定期存款(三年),--
429,1997-10-23,零存整取、整存零取、存本取息定期存款(五年),--
430,1997-10-23,零存整取、整存零取、存本取息定期存款(一年),--
431,1997-10-23,通知存款(七天),--
432,1997-10-23,通知存款(一天),--
433,1997-10-23,协定存款(定期),--
434,1996-08-23,定活两便(定期),--
435,1996-08-23,定期存款整存整取(半年),5.40
436,1996-08-23,定期存款整存整取(二年),7.92
437,1996-08-23,定期存款整存整取(三个月),3.33
438,1996-08-23,定期存款整存整取(三年),8.28
439,1996-08-23,定期存款整存整取(五年),9.00
440,1996-08-23,定期存款整存整取(一年),7.47
441,1996-08-23,活期存款(不定期),1.98
442,1996-08-23,零存整取、整存零取、存本取息定期存款(三年),--
443,1996-08-23,零存整取、整存零取、存本取息定期存款(五年),--
444,1996-08-23,零存整取、整存零取、存本取息定期存款(一年),--
445,1996-08-23,通知存款(七天),--
446,1996-08-23,通知存款(一天),--
447,1996-08-23,协定存款(定期),--
448,1996-05-01,定活两便(定期),--
449,1996-05-01,定期存款整存整取(半年),7.20
450,1996-05-01,定期存款整存整取(二年),9.90
451,1996-05-01,定期存款整存整取(三个月),4.86
452,1996-05-01,定期存款整存整取(三年),10.80
453,1996-05-01,定期存款整存整取(五年),12.06
454,1996-05-01,定期存款整存整取(一年),9.18
455,1996-05-01,活期存款(不定期),2.97
456,1996-05-01,零存整取、整存零取、存本取息定期存款(三年),--
457,1996-05-01,零存整取、整存零取、存本取息定期存款(五年),--
458,1996-05-01,零存整取、整存零取、存本取息定期存款(一年),--
459,1996-05-01,通知存款(七天),--
460,1996-05-01,通知存款(一天),--
461,1996-05-01,协定存款(定期),--
462,1993-07-11,定活两便(定期),--
463,1993-07-11,定期存款整存整取(半年),9.00
464,1993-07-11,定期存款整存整取(二年),11.70
465,1993-07-11,定期存款整存整取(三个月),6.66
466,1993-07-11,定期存款整存整取(三年),12.24
467,1993-07-11,定期存款整存整取(五年),13.86
468,1993-07-11,定期存款整存整取(一年),10.98
469,1993-07-11,活期存款(不定期),3.15
470,1993-07-11,零存整取、整存零取、存本取息定期存款(三年),--
471,1993-07-11,零存整取、整存零取、存本取息定期存款(五年),--
472,1993-07-11,零存整取、整存零取、存本取息定期存款(一年),--
473,1993-07-11,通知存款(七天),--
474,1993-07-11,通知存款(一天),--
475,1993-07-11,协定存款(定期),--
476,1993-05-15,定活两便(定期),--
477,1993-05-15,定期存款整存整取(半年),7.20
478,1993-05-15,定期存款整存整取(二年),9.90
479,1993-05-15,定期存款整存整取(三个月),4.86
480,1993-05-15,定期存款整存整取(三年),10.80
481,1993-05-15,定期存款整存整取(五年),12.06
482,1993-05-15,定期存款整存整取(一年),9.18
483,1993-05-15,活期存款(不定期),2.16
484,1993-05-15,零存整取、整存零取、存本取息定期存款(三年),--
485,1993-05-15,零存整取、整存零取、存本取息定期存款(五年),--
486,1993-05-15,零存整取、整存零取、存本取息定期存款(一年),--
487,1993-05-15,通知存款(七天),--
488,1993-05-15,通知存款(一天),--
489,1993-05-15,协定存款(定期),--
490,1991-04-21,定活两便(定期),--
491,1991-04-21,定期存款整存整取(半年),5.40
492,1991-04-21,定期存款整存整取(二年),7.92
493,1991-04-21,定期存款整存整取(三个月),3.24
494,1991-04-21,定期存款整存整取(三年),8.28
495,1991-04-21,定期存款整存整取(五年),9.00
496,1991-04-21,定期存款整存整取(一年),7.56
497,1991-04-21,活期存款(不定期),1.80
498,1991-04-21,零存整取、整存零取、存本取息定期存款(三年),--
499,1991-04-21,零存整取、整存零取、存本取息定期存款(五年),--
500,1991-04-21,零存整取、整存零取、存本取息定期存款(一年),--
501,1991-04-21,通知存款(七天),--
502,1991-04-21,通知存款(一天),--
503,1991-04-21,协定存款(定期),--
504,1990-08-21,定活两便(定期),--
505,1990-08-21,定期存款整存整取(半年),6.48
506,1990-08-21,定期存款整存整取(二年),9.36
507,1990-08-21,定期存款整存整取(三个月),4.32
508,1990-08-21,定期存款整存整取(三年),10.08
