code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,peg
000510,金路集团,化工原料,四川,87.7,5.63,6.09,128008.95,25155.84,92032.61,4489.06,0.07,0.059,1.38,7.55,19930507,7275.15,0.12,25.99,337.97,15.24,4.41,66735.0,3.37437475952
000728,国元证券,证券,安徽,40.6,29.46,29.46,7299317.0,0.0,140200.92,885303.19,3.0,0.174,6.99,2.03,19970616,460111.09,1.56,12.03,0.62,0.0,32.69,111337.0,3.3748960931
000501,鄂武商Ａ,百货,湖北,10.37,6.68,7.69,1664402.25,303582.25,701583.5,137268.69,1.78,0.88,8.54,2.08,19921120,375993.56,4.89,3.07,27.82,22.56,7.44,18642.0,3.37785016287
300210,森远股份,专用机械,辽宁,74.23,3.52,4.84,228692.45,118498.46,29115.18,19352.76,0.4,0.054,2.61,3.04,20110426,54236.66,1.12,21.93,-20.86,48.03,12.66,12945.0,3.38486092111
600597,光明乳业,乳制品,上海,21.57,12.24,12.31,1636070.13,752489.56,587761.69,177708.52,1.44,0.298,4.25,3.02,20020828,183459.67,1.49,6.36,52.17,34.81,3.35,44732.0,3.39150943396
002568,百润股份,红黄药酒,上海,80.89,3.84,7.0,210468.55,73593.93,64966.5,94598.27,1.35,0.08,1.8,10.02,20110325,-7731.38,-0.11,23.77,153.96,70.87,15.05,25735.0,3.40302902819
300162,雷曼股份,元器件,深圳,82.35,2.19,3.5,135459.23,68834.42,19161.98,63208.98,1.81,0.062,3.15,3.23,20110113,9276.16,0.27,24.07,-19.0,31.82,6.94,30643.0,3.42127129206
300341,麦迪电气,电气设备,福建,42.55,3.71,5.1,116991.63,74415.96,22373.09,8140.82,0.16,0.106,2.0,4.53,20120726,36002.34,0.71,12.42,39.24,41.49,14.76,17257.0,3.42592592593
002019,亿帆医药,化学制药,浙江,24.91,5.78,12.07,695960.44,219956.7,82618.88,114243.17,0.95,0.44,3.52,5.63,20040713,172390.52,1.43,7.23,32.04,53.59,25.9,50632.0,3.44536652835
600007,中国国贸,园区开发,北京,33.14,10.07,10.07,1145499.0,96527.13,213363.09,187251.86,1.86,0.293,6.08,3.19,19990312,274423.75,2.72,9.6,-21.86,53.91,23.5,12013.0,3.45208333333
002031,巨轮智能,汽车配件,广东,118.16,18.69,21.99,579398.88,334688.72,103290.71,3979.56,0.02,0.013,1.35,2.34,20040816,58980.13,0.27,33.97,48.08,38.6,5.85,131283.0,3.4783632617
600661,新南洋,文教休闲,上海,74.24,2.59,2.87,291286.19,185294.56,34797.85,81071.71,2.83,0.148,5.2,4.21,19930614,26696.09,0.93,21.32,10.23,42.85,5.33,19808.0,3.48217636023
300201,海伦哲,专用机械,江苏,150.02,8.58,10.29,241350.09,154163.47,23151.15,9208.05,0.09,0.028,1.33,6.2,20110407,22966.7,0.22,43.02,597.88,26.79,4.89,41898.0,3.48721524872
603003,龙宇燃油,石油贸易,上海,115.25,2.02,4.41,613033.88,490944.16,13416.27,355695.72,8.06,0.065,9.38,1.6,20120817,10504.8,0.24,33.01,487.05,0.47,0.33,17375.0,3.49136625265
600837,海通证券,证券,上海,21.33,80.92,115.02,53489432.0,0.0,149418.27,5633724.0,4.9,0.35,9.78,1.53,19940224,2781546.5,2.42,6.08,-5.65,0.0,31.4,246720.0,3.50822368421
600584,长电科技,半导体,江苏,132.18,9.85,13.6,3099677.75,901755.81,1548427.63,635160.13,4.67,0.065,6.47,2.67,20030603,88415.0,0.65,37.42,730.69,10.03,0.86,75217.0,3.53233564939
603222,济民制药,化学制药,浙江,129.78,1.13,3.2,130494.81,45421.55,23144.5,19973.96,0.62,0.062,2.38,6.83,20150217,21634.13,0.68,36.72,56.0,43.89,7.03,19448.0,3.53431372549
600366,宁波韵升,电器仪表,浙江,36.95,5.35,5.57,603618.31,278349.81,82669.24,66744.88,1.2,0.3,7.97,2.69,20001030,298259.13,5.35,10.41,-78.19,29.63,19.47,59821.0,3.54947166186
603101,汇嘉时代,百货,新疆,32.78,0.72,2.4,202084.77,39265.01,81335.28,43718.01,1.82,0.269,5.23,3.37,20160506,54209.93,2.26,9.22,68.73,16.93,4.5,25831.0,3.55531453362
002697,红旗连锁,超市连锁,四川,42.1,8.64,13.6,409894.69,198855.7,118892.86,4374.31,0.03,0.072,1.66,3.68,20120905,73193.05,0.54,11.79,-3.56,27.52,2.87,72121.0,3.57082273113
600820,隧道股份,建筑施工,上海,19.93,31.44,31.44,6256465.5,3503718.0,342736.19,683285.75,2.17,0.243,5.76,1.68,19940128,687844.75,2.19,5.58,8.7,12.24,6.36,187769.0,3.57168458781
000089,深圳机场,机场,深圳,28.11,20.51,20.51,1299304.13,362663.56,747315.94,279820.69,1.36,0.155,5.36,1.62,19980420,538742.13,2.63,7.86,20.09,30.84,20.24,61490.0,3.57633587786
600838,上海九百,百货,上海,51.29,4.01,4.01,142593.2,23796.21,12005.26,18368.57,0.46,0.125,3.02,4.25,19940224,31818.15,0.79,14.34,-64.86,49.78,111.79,63514.0,3.57670850767
002392,北京利尔,其他建材,北京,50.96,7.33,11.9,534696.06,412539.88,39332.8,99308.53,0.83,0.071,2.57,2.81,20100423,79660.59,0.67,14.23,2.29,35.59,7.9,95819.0,3.58116654954
600826,兰生股份,商贸代理,上海,81.15,4.21,4.21,510382.75,257142.17,2695.8,13624.95,0.32,0.109,8.99,1.97,19940204,169596.94,4.03,22.65,-93.49,6.44,2.75,25857.0,3.58278145695
300006,莱美药业,化学制药,重庆,67.51,5.84,8.12,269904.41,105612.51,80060.11,58322.26,0.72,0.053,2.07,3.48,20091030,18929.7,0.23,18.74,34.39,39.95,8.18,31289.0,3.60245464248
002049,紫光国芯,元器件,河北,86.56,6.03,6.07,466238.66,233176.3,29645.9,61902.13,1.02,0.203,5.42,6.5,20050606,196498.11,3.24,24.01,-17.86,32.83,15.42,50813.0,3.60516451479
300390,天华超净,电脑设备,江苏,123.67,1.54,3.45,101723.43,42389.48,26663.86,28099.96,0.82,0.036,2.36,3.77,20140731,16866.18,0.49,34.27,10.23,20.18,3.67,16404.0,3.60869565217
601555,东吴证券,证券,江苏,43.01,28.91,30.0,9137878.0,0.0,74566.65,1176400.25,3.92,0.142,6.78,1.81,20111212,315914.53,1.05,11.91,-30.51,0.0,20.86,112318.0,3.61125104954
000582,北部湾港,港口,广西,25.12,2.63,12.4,1225859.5,213782.22,780604.44,245982.27,1.98,0.238,5.24,2.28,19951102,245032.91,1.98,6.95,11.74,39.14,20.15,42382.0,3.61438848921
600243,青海华鼎,机床制造,青海,40.64,2.37,4.39,295892.16,190962.59,75789.36,124214.31,2.83,0.106,4.05,2.12,20001120,7862.68,0.18,11.24,214.18,19.81,9.79,26798.0,3.61565836299
300013,新宁物流,仓储物流,江苏,65.79,2.35,2.98,207498.75,96934.21,18336.85,90313.49,3.03,0.117,4.55,3.38,20091030,5067.33,0.17,18.12,642.11,39.25,8.69,19215.0,3.63079470199
